 已授权发明专利数量,已授权实用新型专利数量,已授权软著数量,成立年限,注册资本,参保人数,区域,营业收入,营业利润,股东企业成立年限,股东企业参保人数,股东企业注册资本,企业总的股东的数量,企业股东中个人股东的数量,企业股东发明专利数量,企业股东实用新型专利数量,企业股东软著数量,收入规模
0,0,0,15,60000,14,0,,,,,,3,3,0,0,0,7
0,0,0,15,400000,99,0,,,9,28,30000000,2,1,0,0,0,5
0,0,0,6,50000,0,0,,,,,,1,1,0,0,0,6
0,0,0,6,50000,22,0,,,,,,2,2,0,0,0,2
0,0,0,5,50000,0,0,,,,,,1,1,0,0,0,5
0,0,0,4,1000,9,0,,,,,,2,2,2,10,0,0
0,0,0,4,100000,7,0,,,,,,2,2,0,0,0,6
0,0,0,3,30000,5,0,,,,,,5,5,0,0,0,6
0,0,0,3,400000,28,0,,,,,,2,2,0,0,0,6
0,0,0,2,10000,19,0,,,,,,2,2,0,0,0,6
0,0,0,2,20000,0,0,,,,,,2,2,0,0,0,7
0,0,0,2,50000,0,0,,,,,,2,2,0,0,0,4
0,0,0,27,1001800,27,0,,,,,,7,6,0,0,0,2
0,0,0,9,500,34,1,,,,,,2,2,0,0,0,0
0,0,0,9,50000,0,0,,,,,,2,2,0,0,0,6
0,0,0,25,300000,107,0,,,,,,2,2,0,0,0,5
0,0,4,26,600000,110,0,,,,,,3,3,0,0,4,5
0,0,0,26,50000,0,0,,,,,,1,1,0,0,0,7
0,0,0,23,50000,3,0,,,,,,2,2,0,0,0,6
0,0,0,27,80,33,1,,,,,,3,3,0,0,0,0
0,0,0,29,200000,83,0,,,,,,2,2,0,0,0,5
0,0,3,8,200,12,1,,,,,,2,2,0,0,3,0
0,0,2,7,2000,28,1,,,,,,4,4,0,0,2,5
0,0,0,7,100000,0,0,,,,,,1,1,0,0,0,6
0,0,0,7,30000,13,0,,,,,,1,1,0,0,0,6
0,0,0,7,100000,10,0,,,,,,2,2,0,0,0,6
0,0,0,11,150000,0,0,,,,,,2,2,0,0,0,6
0,0,0,11,300000,19,0,,,,,,2,2,0,0,0,7
0,0,0,11,100000,14,0,,,,,,2,2,0,0,0,6
0,0,0,10,350000,118,0,,,,,,2,2,4,22,0,5
0,0,0,24,100000,9,0,,,,,,5,5,0,0,0,5
0,0,0,13,18000,19,0,,,,,,3,3,0,0,0,7
0,0,0,20,201800,39,0,,,,,,2,2,0,0,0,3
0,0,0,17,20000,26,0,,,5,0,10000000,2,1,0,0,0,5
0,0,0,17,50000,19,0,,,,,,5,5,0,0,0,5
0,0,0,17,50000,44,0,,,,,,7,7,0,0,0,6
0,0,0,16,100000,38,0,,,,,,2,2,0,0,0,5
0,0,0,16,200000,14,0,,,,,,4,4,0,0,0,7
0,0,7,4,500,1,1,,,,,,2,2,0,0,7,0
0,0,0,3,5000,5,0,,,,,,2,2,0,0,0,6
0,0,0,2,120000,10,0,,,,,,2,2,0,0,0,2
0,0,0,9,100000,5,0,1650335.86,-198023.43,,,,2,2,0,0,0,6
0,0,0,8,10000,0,0,,,,,,2,2,0,0,0,6
0,0,0,34,108,46,1,,,,,,5,5,0,0,0,0
0,0,0,25,2000000,18,0,70180000,-324900,,,,3,3,0,0,0,5
0,0,29,25,820,14,1,,,,,,1,1,0,0,29,0
0,0,0,8,5000,0,0,,,,,,1,1,0,0,0,7
0,0,6,8,200,13,1,,,,,,2,2,0,15,6,0
0,0,0,12,55800,22,0,,,,,,4,4,0,0,0,6
0,0,0,12,60,5,0,,,,,,0,0,0,0,0,6
0,0,0,11,1688.88,18,0,,,,,,1,1,0,21,0,0
0,0,0,10,3000,68,1,,,,,,5,5,2,23,0,0
0,0,0,10,180000,18,0,,,,,,2,2,0,0,0,6
0,0,0,18,100000,0,0,,,,,,2,2,0,0,0,7
0,25,0,17,7600,417,1,,,,,,2,2,2,25,0,0
32,13,0,17,10000,37,1,,,,,,5,5,54,14,0,0
0,0,0,17,50000,8,0,,,,,,3,3,1,1,0,7
0,0,0,6,5000,1,0,,,,,,2,2,0,0,0,6
0,0,0,5,100000,5,0,,,,,,2,2,0,0,0,3
0,0,0,5,60000,59,0,,,,,,2,2,0,0,0,6
0,0,0,5,300000,7,0,,,,,,2,2,0,0,0,6
0,0,0,4,689900,6,0,,,8,6,68990000,2,1,0,0,0,7
0,0,0,3,150000,2,0,,,,,,1,1,0,0,0,6
0,0,0,3,500000,5,0,,,,,,5,5,0,0,0,5
0,0,0,9,518000,20,0,,,,,,1,1,0,0,0,6
0,0,0,9,120000,28,0,,,,,,2,2,0,0,0,5
0,0,0,8,300000,17,0,,,,,,2,2,0,0,0,6
0,0,6,8,300,1,1,,,,,,2,2,0,0,6,0
0,0,0,29,3000,4,0,,,,,,4,4,0,0,0,6
0,0,0,12,100000,10,0,,,,,,2,2,0,0,0,6
0,0,8,11,200,3,1,,,,,,2,2,0,0,8,0
0,78,0,11,1000,50,1,,,23,0,741490000,3,0,0,77,0,1
0,0,0,11,100000,0,0,,,,,,1,1,0,0,0,5
0,0,0,11,20000,24,0,,,,,,2,2,0,0,0,6
0,0,0,29,3000,0,0,,,,,,1,1,0,0,0,6
0,0,0,23,200000,11,0,,,,,,2,2,0,0,0,6
0,0,0,15,20000,13,0,,,,,,4,4,0,0,0,6
0,0,0,14,6168000,17,0,,,,,,5,5,0,0,0,5
0,7,0,14,50,28,1,,,,,,2,2,0,7,0,1
0,0,0,13,26000,3,0,,,,,,2,2,0,0,0,6
0,0,0,13,120800,11,0,,,,,,2,2,0,0,0,6
0,0,0,13,260000,18,0,,,18,7,8000000,3,0,0,0,0,2
0,0,0,13,100000,5,0,,,,,,2,2,0,0,0,6
0,0,0,16,30000,0,0,,,,,,2,2,0,0,0,3
0,0,0,16,54348,17,0,,,,,,3,3,0,12,0,6
0,0,0,19,225200,6,0,,,,,,2,2,0,0,0,6
0,0,0,19,5000,122,0,,,,,,4,4,0,0,0,2
0,0,0,18,2600000,17,0,,,,,,2,2,0,0,0,6
0,0,0,17,201700,26,0,,,,,,2,2,0,0,0,7
0,8,7,16,1000,31,1,12372800,165300,,,,3,3,0,8,7,0
0,0,0,16,50000,0,0,,,,,,2,2,0,0,0,6
0,0,0,15,120000,2,0,30873000,755800,,,,2,2,0,0,0,6
0,0,0,6,260000,32,0,,,,,,3,3,0,20,0,7
0,0,0,6,150000,63,0,,,,,,3,3,0,0,0,3
0,0,0,6,250000,31,0,,,,,,2,2,0,0,0,5
0,0,0,6,50000,0,0,,,,,,2,2,0,0,0,6
0,0,0,6,4000,0,0,,,,,,2,2,0,0,0,7
0,0,0,6,50000,0,0,,,,,,1,1,0,0,0,7
0,0,0,5,200000,30,0,,,,,,3,3,0,0,0,5
0,0,0,5,100000,0,0,,,,,,2,2,0,0,0,6
0,0,0,4,230000,0,0,,,,,,2,2,0,0,0,5
0,0,0,4,300000,0,0,,,,,,1,1,0,0,0,6
0,0,0,4,100000,0,0,,,,,,2,2,0,0,0,6
0,0,0,3,1500000,14,0,,,7,0,500000,1,0,0,0,0,6
0,0,0,2,100000,0,0,,,,,,0,0,0,0,0,6
0,0,0,2,10000,0,0,,,,,,2,2,0,0,0,7
0,0,0,1,100000,0,0,,,,,,0,0,0,0,0,7
0,0,0,10,50000,22,0,,,,,,2,2,0,0,0,6
0,0,0,9,2000,5,0,,,,,,2,2,0,0,0,6
0,0,0,8,100000,14,0,,,,,,2,2,0,0,0,7
0,0,0,25,50000,9,0,,,,,,4,4,0,0,0,6
0,0,0,43,194132,74,0,,,,,,2,2,0,0,0,5
0,0,0,24,1000,15,1,,,,,,2,2,0,0,0,3
